Date,EFA,EEM,GLD,IYR
2008-01-19,-2.0,-2.0,1.0,-2.0
2008-01-26,-2.0,-2.0,1.0,-2.0
2008-02-02,-2.0,-2.0,-1.0,-2.0
2008-02-09,-2.0,2.0,1.0,-2.0
2008-02-16,-1.0,-2.0,-1.0,-1.0
2008-02-23,-2.0,-1.0,1.0,-1.0
2008-03-01,-1.0,-1.0,1.0,-2.0
2008-03-08,-2.0,-1.0,1.0,2.0
2008-03-15,-1.0,-2.0,2.0,-2.0
2008-03-22,-2.0,-1.0,2.0,-1.0
2008-03-29,2.0,-2.0,1.0,-2.0
2008-04-05,-1.0,-1.0,-1.0,-1.0
2008-04-12,-2.0,-2.0,-1.0,-2.0
2008-04-19,-1.0,-1.0,-1.0,-1.0
2008-04-26,-1.0,-1.0,2.0,-1.0
2008-05-03,-1.0,-1.0,-1.0,-1.0
2008-05-10,-2.0,-2.0,-1.0,-2.0
2008-05-17,-1.0,-1.0,-1.0,-2.0
2008-05-24,-1.0,1.0,1.0,-1.0
2008-05-31,-2.0,-2.0,1.0,-1.0
2008-06-07,-2.0,-2.0,-1.0,-2.0
2008-06-14,-1.0,-1.0,-1.0,-2.0
2008-06-21,-1.0,-1.0,1.0,-2.0
2008-06-28,1.0,-2.0,-1.0,-1.0
2008-07-05,-1.0,-1.0,1.0,-2.0
2008-07-12,-2.0,-2.0,1.0,2.0
2008-07-19,1.0,-2.0,1.0,-1.0
2008-07-26,1.0,-1.0,1.0,-1.0
2008-08-02,1.0,-2.0,2.0,-2.0
2008-08-09,2.0,-1.0,-1.0,1.0
2008-08-16,-1.0,-1.0,1.0,-1.0
2008-08-23,-1.0,-1.0,-1.0,-1.0
2008-08-30,-2.0,-2.0,1.0,-2.0
2008-09-06,-1.0,-2.0,-1.0,-2.0
2008-09-13,-2.0,2.0,2.0,-2.0
2008-09-20,-1.0,1.0,-1.0,2.0
2008-09-27,-2.0,-2.0,-1.0,2.0
2008-10-04,-2.0,-2.0,-1.0,2.0
2008-10-11,2.0,-2.0,-1.0,1.0
2008-10-18,-2.0,-2.0,-1.0,-1.0
2008-10-25,2.0,-2.0,1.0,-1.0
2008-11-01,1.0,-1.0,-1.0,-1.0
2008-11-08,2.0,-2.0,1.0,-1.0
2008-11-15,-2.0,2.0,1.0,-1.0
2008-11-22,2.0,2.0,1.0,1.0
2008-11-29,2.0,-2.0,1.0,1.0
2008-12-06,2.0,-1.0,1.0,-1.0
2008-12-13,-2.0,-1.0,1.0,-1.0
2008-12-20,2.0,1.0,1.0,1.0
2008-12-27,1.0,-1.0,1.0,2.0
2009-01-03,-1.0,-1.0,1.0,1.0
2009-01-10,2.0,2.0,1.0,1.0
2009-01-17,-1.0,-1.0,1.0,-1.0
2009-01-24,1.0,1.0,1.0,2.0
2009-01-31,2.0,-2.0,1.0,1.0
2009-02-07,2.0,-1.0,1.0,-2.0
2009-02-14,1.0,-1.0,1.0,1.0
2009-02-21,1.0,-1.0,1.0,1.0
2009-02-28,-2.0,-2.0,1.0,1.0
2009-03-07,2.0,-2.0,1.0,-2.0
2009-03-14,2.0,-2.0,-1.0,-2.0
2009-03-21,2.0,-2.0,1.0,-2.0
2009-03-28,2.0,-2.0,1.0,2.0
2009-04-04,1.0,-2.0,1.0,1.0
2009-04-11,1.0,2.0,1.0,2.0
2009-04-18,2.0,-1.0,1.0,2.0
2009-04-25,1.0,1.0,1.0,1.0
2009-05-02,2.0,-2.0,1.0,2.0
2009-05-09,1.0,-1.0,-1.0,1.0
2009-05-16,2.0,-2.0,1.0,1.0
2009-05-23,2.0,-2.0,1.0,2.0
2009-05-30,1.0,-2.0,1.0,1.0
2009-06-06,2.0,-1.0,1.0,-1.0
2009-06-13,1.0,-1.0,-1.0,-2.0
2009-06-20,1.0,-1.0,1.0,-1.0
2009-06-27,1.0,-1.0,-1.0,-1.0
2009-07-04,1.0,-1.0,-2.0,2.0
2009-07-11,2.0,2.0,1.0,2.0
2009-07-18,2.0,-2.0,2.0,1.0
2009-07-25,1.0,-1.0,-1.0,1.0
2009-08-01,-1.0,-1.0,2.0,2.0
2009-08-08,1.0,-1.0,-1.0,1.0
2009-08-15,2.0,-2.0,-1.0,2.0
2009-08-22,1.0,-1.0,1.0,-1.0
2009-08-29,1.0,-1.0,2.0,2.0
2009-09-05,2.0,-2.0,1.0,1.0
2009-09-12,1.0,-2.0,1.0,2.0
2009-09-19,1.0,-1.0,1.0,-1.0
2009-09-26,1.0,-1.0,-1.0,-2.0
2009-10-03,2.0,-2.0,1.0,1.0
2009-10-10,1.0,-1.0,-1.0,1.0
2009-10-17,1.0,-1.0,-1.0,1.0
2009-10-24,2.0,-2.0,1.0,-2.0
2009-10-31,1.0,-2.0,2.0,1.0
